NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,1,7.032634700997733,14,3,0,0,answer
2,0,1,11.367423270996369,14,3,0,0,answer
3,1,1,14.365550511996844,22,5,0,0,answer
4,1,1,14.919506334998005,22,5,0,-,answer
5,1,1,13.291758074003155,22,5,0,-,answer
6,1,1,14.206405365002865,22,5,0,-,answer
7,1,1,12.794299207998847,22,5,0,-,answer
8,1,-1,4.807713786001841,22,5,0,-,wrong_2
9,1,1,4.073704649999854,18,4,0,-,answer
10,1,1,0.9929409559990745,18,4,0,-,answer
11,1,1,1.013346764993912,18,4,0,-,answer
12,1,0,-1,18,4,0,-,
